player,player_id,team,season,lg,replaced
Scottie Barnes,barnesc01,Team Stars,2026,NBA,False
Devin Booker,bookede01,Team Stars,2026,NBA,False
Cade Cunningham,cunnica01,Team Stars,2026,NBA,False
Jalen Duren,durenja01,Team Stars,2026,NBA,False
Anthony Edwards,edwaran01,Team Stars,2026,NBA,False
Chet Holmgren,holmgch01,Team Stars,2026,NBA,False
Jalen Johnson,johnsja05,Team Stars,2026,NBA,False
Tyrese Maxey,maxeyty01,Team Stars,2026,NBA,False
Jaylen Brown,brownja02,Team Stripes,2026,NBA,False
Jalen Brunson,brunsja01,Team Stripes,2026,NBA,False
Stephen Curry,curryst01,Team Stripes,2026,NBA,True
Kevin Durant,duranke01,Team Stripes,2026,NBA,False
De'Aaron Fox,foxde01,Team Stripes,2026,NBA,False
Brandon Ingram,ingrabr01,Team Stripes,2026,NBA,False
LeBron James,jamesle01,Team Stripes,2026,NBA,False
Kawhi Leonard,leonaka01,Team Stripes,2026,NBA,False
Donovan Mitchell,mitchdo01,Team Stripes,2026,NBA,False
Giannis Antetokounmpo,antetgi01,Team World,2026,NBA,True
Deni Avdija,avdijde01,Team World,2026,NBA,False
Luka Dončić,doncilu01,Team World,2026,NBA,False
Shai Gilgeous-Alexander,gilgesh01,Team World,2026,NBA,True
Nikola Jokić,jokicni01,Team World,2026,NBA,False
Jamal Murray,murraja01,Team World,2026,NBA,False
Norman Powell,powelno01,Team World,2026,NBA,False
Alperen Şengün,sengual01,Team World,2026,NBA,False
Pascal Siakam,siakapa01,Team World,2026,NBA,False
Karl-Anthony Towns,townska01,Team World,2026,NBA,False
Victor Wembanyama,wembavi01,Team World,2026,NBA,False
Giannis Antetokounmpo,antetgi01,Team Chuck,2025,NBA,True
Shai Gilgeous-Alexander,gilgesh01,Team Chuck,2025,NBA,False
Nikola Jokić,jokicni01,Team Chuck,2025,NBA,False
Donovan Mitchell,mitchdo01,Team Chuck,2025,NBA,False
Alperen Şengün,sengual01,Team Chuck,2025,NBA,False
Pascal Siakam,siakapa01,Team Chuck,2025,NBA,False
Karl-Anthony Towns,townska01,Team Chuck,2025,NBA,False
Victor Wembanyama,wembavi01,Team Chuck,2025,NBA,False
Trae Young,youngtr01,Team Chuck,2025,NBA,False
Jalen Brunson,brunsja01,Team Kenny,2025,NBA,False
Cade Cunningham,cunnica01,Team Kenny,2025,NBA,False
Anthony Edwards,edwaran01,Team Kenny,2025,NBA,True
Darius Garland,garlada01,Team Kenny,2025,NBA,False
Tyler Herro,herroty01,Team Kenny,2025,NBA,False
Jaren Jackson Jr.,jacksja02,Team Kenny,2025,NBA,False
Evan Mobley,mobleev01,Team Kenny,2025,NBA,False
Jalen Williams,willija06,Team Kenny,2025,NBA,False
Jaylen Brown,brownja02,Team Shaq,2025,NBA,False
Stephen Curry,curryst01,Team Shaq,2025,NBA,False
Anthony Davis,davisan02,Team Shaq,2025,NBA,True
Kevin Durant,duranke01,Team Shaq,2025,NBA,False
James Harden,hardeja01,Team Shaq,2025,NBA,False
Kyrie Irving,irvinky01,Team Shaq,2025,NBA,False
LeBron James,jamesle01,Team Shaq,2025,NBA,True
Damian Lillard,lillada01,Team Shaq,2025,NBA,False
Jayson Tatum,tatumja01,Team Shaq,2025,NBA,False
Bam Adebayo,adebaba01,East,2024,NBA,False
Giannis Antetokounmpo,antetgi01,East,2024,NBA,False
Paolo Banchero,banchpa01,East,2024,NBA,False
Scottie Barnes,barnesc01,East,2024,NBA,False
Jaylen Brown,brownja02,East,2024,NBA,False
Jalen Brunson,brunsja01,East,2024,NBA,False
Joel Embiid,embiijo01,East,2024,NBA,True
Tyrese Haliburton,halibty01,East,2024,NBA,False
Damian Lillard,lillada01,East,2024,NBA,False
Tyrese Maxey,maxeyty01,East,2024,NBA,False
Donovan Mitchell,mitchdo01,East,2024,NBA,False
Julius Randle,randlju01,East,2024,NBA,True
Jayson Tatum,tatumja01,East,2024,NBA,False
Trae Young,youngtr01,East,2024,NBA,False
Devin Booker,bookede01,West,2024,NBA,False
Stephen Curry,curryst01,West,2024,NBA,False
Anthony Davis,davisan02,West,2024,NBA,False
Luka Dončić,doncilu01,West,2024,NBA,False
Kevin Durant,duranke01,West,2024,NBA,False
Anthony Edwards,edwaran01,West,2024,NBA,False
Paul George,georgpa01,West,2024,NBA,False
Shai Gilgeous-Alexander,gilgesh01,West,2024,NBA,False
LeBron James,jamesle01,West,2024,NBA,False
Nikola Jokić,jokicni01,West,2024,NBA,False
Kawhi Leonard,leonaka01,West,2024,NBA,False
Karl-Anthony Towns,townska01,West,2024,NBA,False
Bam Adebayo,adebaba01,Giannis,2023,NBA,False
Giannis Antetokounmpo,antetgi01,Giannis,2023,NBA,False
DeMar DeRozan,derozde01,Giannis,2023,NBA,False
Kevin Durant,duranke01,Giannis,2023,NBA,True
Shai Gilgeous-Alexander,gilgesh01,Giannis,2023,NBA,False
Jrue Holiday,holidjr01,Giannis,2023,NBA,False
Damian Lillard,lillada01,Giannis,2023,NBA,False
Lauri Markkanen,markkla01,Giannis,2023,NBA,False
Donovan Mitchell,mitchdo01,Giannis,2023,NBA,False
Ja Morant,moranja01,Giannis,2023,NBA,False
Domantas Sabonis,sabondo01,Giannis,2023,NBA,False
Pascal Siakam,siakapa01,Giannis,2023,NBA,False
Jayson Tatum,tatumja01,Giannis,2023,NBA,False
Jaylen Brown,brownja02,LeBron,2023,NBA,False
Stephen Curry,curryst01,LeBron,2023,NBA,True
Luka Dončić,doncilu01,LeBron,2023,NBA,False
Anthony Edwards,edwaran01,LeBron,2023,NBA,False
Joel Embiid,embiijo01,LeBron,2023,NBA,False
De'Aaron Fox,foxde01,LeBron,2023,NBA,False
Paul George,georgpa01,LeBron,2023,NBA,False
Tyrese Haliburton,halibty01,LeBron,2023,NBA,False
Kyrie Irving,irvinky01,LeBron,2023,NBA,False
Jaren Jackson Jr.,jacksja02,LeBron,2023,NBA,False
LeBron James,jamesle01,LeBron,2023,NBA,False
Nikola Jokić,jokicni01,LeBron,2023,NBA,False
Julius Randle,randlju01,LeBron,2023,NBA,False
Zion Williamson,willizi01,LeBron,2023,NBA,True
LaMelo Ball,ballla01,Team Durant,2022,NBA,False
Devin Booker,bookede01,Team Durant,2022,NBA,False
Kevin Durant,duranke01,Team Durant,2022,NBA,True
Joel Embiid,embiijo01,Team Durant,2022,NBA,False
Rudy Gobert,goberru01,Team Durant,2022,NBA,False
Draymond Green,greendr01,Team Durant,2022,NBA,True
Zach LaVine,lavinza01,Team Durant,2022,NBA,False
Khris Middleton,middlkh01,Team Durant,2022,NBA,False
Ja Morant,moranja01,Team Durant,2022,NBA,False
Dejounte Murray,murrade01,Team Durant,2022,NBA,False
Jayson Tatum,tatumja01,Team Durant,2022,NBA,False
Karl-Anthony Towns,townska01,Team Durant,2022,NBA,False
Andrew Wiggins,wiggian01,Team Durant,2022,NBA,False
Trae Young,youngtr01,Team Durant,2022,NBA,False
Jarrett Allen,allenja01,Team LeBron,2022,NBA,False
Giannis Antetokounmpo,antetgi01,Team LeBron,2022,NBA,False
Jimmy Butler,butleji01,Team LeBron,2022,NBA,False
Stephen Curry,curryst01,Team LeBron,2022,NBA,False
DeMar DeRozan,derozde01,Team LeBron,2022,NBA,False
Luka Dončić,doncilu01,Team LeBron,2022,NBA,False
Darius Garland,garlada01,Team LeBron,2022,NBA,False
James Harden,hardeja01,Team LeBron,2022,NBA,True
LeBron James,jamesle01,Team LeBron,2022,NBA,False
Nikola Jokić,jokicni01,Team LeBron,2022,NBA,False
Donovan Mitchell,mitchdo01,Team LeBron,2022,NBA,True
Chris Paul,paulch01,Team LeBron,2022,NBA,False
Fred VanVleet,vanvlfr01,Team LeBron,2022,NBA,False
Bradley Beal,bealbr01,Team Durant,2021,NBA,False
Devin Booker,bookede01,Team Durant,2021,NBA,True
Mike Conley,conlemi01,Team Durant,2021,NBA,False
Anthony Davis,davisan02,Team Durant,2021,NBA,True
Kevin Durant,duranke01,Team Durant,2021,NBA,True
Joel Embiid,embiijo01,Team Durant,2021,NBA,True
