season,lg,tm,player,player_id
2025,NBA,DAL,Cooper Flagg,flaggco01
2025,NBA,SAS,Dylan Harper,harpedy01
2025,NBA,PHI,VJ Edgecombe,edgecvj01
2025,NBA,CHO,Kon Knueppel,knuepko01
2025,NBA,UTA,Ace Bailey,baileac01
2025,NBA,WAS,Tre Johnson,johnstr03
2025,NBA,NOP,Jeremiah Fears,fearsje01
2025,NBA,BRK,Egor Demin,demineg01
2025,NBA,TOR,Collin Murray-Boyles,murraco01
2025,NBA,HOU,Khaman Maluach,maluakh01
2025,NBA,POR,Cedric Coward,cowarce01
2025,NBA,CHI,Noa Essengue,essenno01
2025,NBA,ATL,Derik Queen,queende01
2025,NBA,SAS,Carter Bryant,bryanca01
2025,NBA,OKC,Thomas Sorber,sorbeth01
2025,NBA,MEM,Yang Hansen,yangha01
2025,NBA,MIN,Joan Beringer,berinjo01
2025,NBA,WAS,Walter Clayton,claytwa01
2025,NBA,BRK,Nolan Traoré,traorno01
2025,NBA,MIA,Kasparas Jakucionis,jakucka01
2025,NBA,UTA,Will Riley,rileywi01
2025,NBA,ATL,Drake Powell,poweldr01
2025,NBA,IND,Asa Newell,newelas01
2025,NBA,OKC,Nique Clifford,cliffni01
2025,NBA,ORL,Jase Richardson,richaja02
2025,NBA,BRK,Ben Saraf,sarafbe01
2025,NBA,BRK,Danny Wolf,wolfda01
2025,NBA,BOS,Hugo González,gonzahu01
2025,NBA,PHO,Liam McNeeley,mcneeli01
2025,NBA,LAC,Yanic Konan Niederhauser,konanya01
2025,NBA,MIN,Rasheer Fleming,flemira01
2025,NBA,BOS,Noah Penda,pendano01
2025,NBA,CHO,Sion James,jamessi01
2025,NBA,CHO,Ryan Kalkbrenner,kalkbry01
2025,NBA,PHI,Johni Broome,broomjo01
2025,NBA,BRK,Adou Thiero,thierad01
2025,NBA,DET,Chaz Lanier,laniech01
2025,NBA,SAS,Kam Jones,joneska03
2025,NBA,TOR,Alijah Martin,martial01
2025,NBA,WAS,Micah Peavy,peavymi01
2025,NBA,GSW,Koby Brea,breako01
2025,NBA,SAC,Maxime Raynaud,raynama01
2025,NBA,UTA,Jamir Watkins,watkija01
2025,NBA,OKC,Brooks Barnhizer,barnhbr01
2025,NBA,CHI,Rocco Zikarsky,zikarro01
2025,NBA,ORL,Amari Williams,william01
2025,NBA,MIL,Bogoljub Markovic,markobo01
2025,NBA,MEM,Javon Small,smallja01
2025,NBA,CLE,Tyrese Proctor,proctty01
2025,NBA,NYK,Kobe Sanders,sandeko01
2025,NBA,LAC,Mohamed Diawara,diawamo01
2025,NBA,PHO,Alex Toohey,tooheal01
2025,NBA,UTA,John Tonje,tonjejo01
2025,NBA,IND,Taelon Peter,peterta01
2025,NBA,LAL,Lachlan Olbrich,olbrila01
2025,NBA,MEM,Will Richard,richawi02
2025,NBA,ORL,Max Shulga,shulgma01
2025,NBA,CLE,Saliou Niang,niangsa01
2025,NBA,HOU,Jahmai Mashack,mashaja01
2024,NBA,ATL,Zaccharie Risacher,risacza01
2024,NBA,WAS,Alex Sarr,sarral01
2024,NBA,HOU,Reed Sheppard,sheppre01
2024,NBA,SAS,Stephon Castle,castlst01
2024,NBA,DET,Ron Holland,hollaro01
2024,NBA,CHO,Tidjane Salaün,salauti01
2024,NBA,POR,Donovan Clingan,clingdo01
2024,NBA,SAS,Rob Dillingham,dilliro01
2024,NBA,MEM,Zach Edey,edeyza01
2024,NBA,UTA,Cody Williams,willico04
2024,NBA,CHI,Matas Buzelis,buzelma01
2024,NBA,OKC,Nikola Topić,topicni01
2024,NBA,SAC,Devin Carter,cartede02
2024,NBA,POR,Bub Carrington,carrica01
2024,NBA,MIA,Kel'el Ware,wareke01
2024,NBA,PHI,Jared McCain,mccaija01
2024,NBA,LAL,Dalton Knecht,knechda01
2024,NBA,ORL,Tristan Da Silva,dasiltr01
2024,NBA,TOR,Ja'Kobe Walter,walteja01
2024,NBA,CLE,Jaylon Tyson,tysonja01
2024,NBA,NOP,Yves Missi,missiyv01
