season,lg,type,number_tm,player,player_id
2025,NBA,All-Defense,1st,Dyson Daniels,daniedy01
2025,NBA,All-Defense,1st,Luguentz Dort,dortlu01
2025,NBA,All-Defense,1st,Draymond Green,greendr01
2025,NBA,All-Defense,1st,Evan Mobley,mobleev01
2025,NBA,All-Defense,1st,Amen Thompson,thompam01
2025,NBA,All-Defense,2nd,Toumani Camara,camarto01
2025,NBA,All-Defense,2nd,Rudy Gobert,goberru01
2025,NBA,All-Defense,2nd,Jaren Jackson Jr.,jacksja02
2025,NBA,All-Defense,2nd,Jalen Williams,willija06
2025,NBA,All-Defense,2nd,Ivica Zubac,zubaciv01
2025,NBA,All-NBA,1st,Nikola Jokić,jokicni01
2025,NBA,All-NBA,1st,Giannis Antetokounmpo,antetgi01
2025,NBA,All-NBA,1st,Jayson Tatum,tatumja01
2025,NBA,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01
2025,NBA,All-NBA,1st,Donovan Mitchell,mitchdo01
2025,NBA,All-NBA,2nd,Evan Mobley,mobleev01
2025,NBA,All-NBA,2nd,LeBron James,jamesle01
2025,NBA,All-NBA,2nd,Stephen Curry,curryst01
2025,NBA,All-NBA,2nd,Anthony Edwards,edwaran01
2025,NBA,All-NBA,2nd,Jalen Brunson,brunsja01
2025,NBA,All-NBA,3rd,Karl-Anthony Towns,townska01
2025,NBA,All-NBA,3rd,Jalen Williams,willija06
2025,NBA,All-NBA,3rd,Cade Cunningham,cunnica01
2025,NBA,All-NBA,3rd,Tyrese Haliburton,halibty01
2025,NBA,All-NBA,3rd,James Harden,hardeja01
2025,NBA,All-Rookie,1st,Stephon Castle,castlst01
2025,NBA,All-Rookie,1st,Zach Edey,edeyza01
2025,NBA,All-Rookie,1st,Zaccharie Risacher,risacza01
2025,NBA,All-Rookie,1st,Alex Sarr,sarral01
2025,NBA,All-Rookie,1st,Jaylen Wells,wellsja01
2025,NBA,All-Rookie,2nd,Matas Buzelis,buzelma01
2025,NBA,All-Rookie,2nd,Bub Carrington,carrica01
2025,NBA,All-Rookie,2nd,Donovan Clingan,clingdo01
2025,NBA,All-Rookie,2nd,Yves Missi,missiyv01
2025,NBA,All-Rookie,2nd,Kel'el Ware,wareke01
2024,NBA,All-Defense,1st,Rudy Gobert,goberru01
2024,NBA,All-Defense,1st,Victor Wembanyama,wembavi01
2024,NBA,All-Defense,1st,Bam Adebayo,adebaba01
2024,NBA,All-Defense,1st,Herbert Jones,joneshe01
2024,NBA,All-Defense,1st,Anthony Davis,davisan02
2024,NBA,All-Defense,2nd,Alex Caruso,carusal01
2024,NBA,All-Defense,2nd,Jalen Suggs,suggsja01
2024,NBA,All-Defense,2nd,Derrick White,whitede01
2024,NBA,All-Defense,2nd,Jaden McDaniels,mcdanja02
2024,NBA,All-Defense,2nd,Jrue Holiday,holidjr01
2024,NBA,All-NBA,1st,Nikola Jokić,jokicni01
2024,NBA,All-NBA,1st,Giannis Antetokounmpo,antetgi01
2024,NBA,All-NBA,1st,Jayson Tatum,tatumja01
2024,NBA,All-NBA,1st,Luka Dončić,doncilu01
2024,NBA,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01
2024,NBA,All-NBA,2nd,Anthony Davis,davisan02
2024,NBA,All-NBA,2nd,Kevin Durant,duranke01
2024,NBA,All-NBA,2nd,Kawhi Leonard,leonaka01
2024,NBA,All-NBA,2nd,Jalen Brunson,brunsja01
2024,NBA,All-NBA,2nd,Anthony Edwards,edwaran01
2024,NBA,All-NBA,3rd,LeBron James,jamesle01
2024,NBA,All-NBA,3rd,Domantas Sabonis,sabondo01
2024,NBA,All-NBA,3rd,Devin Booker,bookede01
2024,NBA,All-NBA,3rd,Stephen Curry,curryst01
2024,NBA,All-NBA,3rd,Tyrese Haliburton,halibty01
2024,NBA,All-Rookie,1st,Chet Holmgren,holmgch01
2024,NBA,All-Rookie,1st,Jaime Jaquez Jr.,jaqueja01
2024,NBA,All-Rookie,1st,Brandon Miller,millebr02
2024,NBA,All-Rookie,1st,Brandin Podziemski,podzibr01
2024,NBA,All-Rookie,1st,Victor Wembanyama,wembavi01
2024,NBA,All-Rookie,2nd,Dereck Lively II,livelde01
2024,NBA,All-Rookie,2nd,GG Jackson II,jacksgg01
2024,NBA,All-Rookie,2nd,Keyonte George,georgke01
2024,NBA,All-Rookie,2nd,Amen Thompson,thompam01
2024,NBA,All-Rookie,2nd,Cason Wallace,wallaca01
2023,NBA,All-Defense,1st,Alex Caruso,carusal01
2023,NBA,All-Defense,1st,Jrue Holiday,holidjr01
2023,NBA,All-Defense,1st,Jaren Jackson Jr.,jacksja02
2023,NBA,All-Defense,1st,Brook Lopez,lopezbr01
2023,NBA,All-Defense,1st,Evan Mobley,mobleev01
2023,NBA,All-Defense,2nd,Bam Adebayo,adebaba01
2023,NBA,All-Defense,2nd,OG Anunoby,anunoog01
2023,NBA,All-Defense,2nd,Dillon Brooks,brookdi01
2023,NBA,All-Defense,2nd,Draymond Green,greendr01
2023,NBA,All-Defense,2nd,Derrick White,whitede01
2023,NBA,All-NBA,1st,Joel Embiid,embiijo01
2023,NBA,All-NBA,1st,Giannis Antetokounmpo,antetgi01
2023,NBA,All-NBA,1st,Jayson Tatum,tatumja01
2023,NBA,All-NBA,1st,Luka Dončić,doncilu01
2023,NBA,All-NBA,1st,Shai Gilgeous-Alexander,gilgesh01
2023,NBA,All-NBA,2nd,Nikola Jokić,jokicni01
