season,lg,player,player_id,age
2025,nba,Evan Mobley,mobleev01,23
2025,nba,Dyson Daniels,daniedy01,21
2025,nba,Luguentz Dort,dortlu01,25
2025,nba,Draymond Green,greendr01,34
2025,nba,Amen Thompson,thompam01,22
2025,nba,Ivica Zubac,zubaciv01,27
2025,nba,Jaren Jackson Jr.,jacksja02,25
2025,nba,Jalen Williams,willija06,23
2025,nba,Toumani Camara,camarto01,24
2025,nba,Rudy Gobert,goberru01,32
2025,nba,OG Anunoby,anunoog01,27
2025,nba,Bam Adebayo,adebaba01,27
2025,nba,Derrick White,whitede01,30
2025,nba,Giannis Antetokounmpo,antetgi01,30
2025,nba,Shai Gilgeous-Alexander,gilgesh01,26
2025,nba,Jaden McDaniels,mcdanja02,24
2025,nba,Dillon Brooks,brookdi01,29
2025,nba,Jarrett Allen,allenja01,26
2025,nba,Anthony Edwards,edwaran01,23
2025,nba,Brook Lopez,lopezbr01,36
2025,nba,Myles Turner,turnemy01,28
2025,nba,Cason Wallace,wallaca01,21
2025,nba,Jalen Duren,durenja01,21
2025,nba,Josh Hart,hartjo01,29
2025,nba,Nikola Jokić,jokicni01,29
2025,nba,Jayson Tatum,tatumja01,26
2025,nba,Donovan Mitchell,mitchdo01,28
2025,nba,LeBron James,jamesle01,40
2025,nba,Stephen Curry,curryst01,36
2025,nba,Jalen Brunson,brunsja01,28
2025,nba,Cade Cunningham,cunnica01,23
2025,nba,Karl-Anthony Towns,townska01,29
2025,nba,Tyrese Haliburton,halibty01,24
2025,nba,James Harden,hardeja01,35
2025,nba,Alperen Şengün,sengual01,22
2025,nba,Darius Garland,garlada01,25
2025,nba,Domantas Sabonis,sabondo01,28
2025,nba,Pascal Siakam,siakapa01,30
2025,nba,Trae Young,youngtr01,26
2025,nba,Devin Booker,bookede01,28
2025,nba,Stephon Castle,castlst01,20
2025,nba,Zaccharie Risacher,risacza01,19
2025,nba,Jaylen Wells,wellsja01,21
2025,nba,Zach Edey,edeyza01,22
2025,nba,Alex Sarr,sarral01,19
2025,nba,Kel'el Ware,wareke01,20
2025,nba,Matas Buzelis,buzelma01,20
2025,nba,Yves Missi,missiyv01,20
2025,nba,Donovan Clingan,clingdo01,20
2025,nba,Bub Carrington,carrica01,19
2025,nba,Isaiah Collier,colliis01,20
2025,nba,Kyle Filipowski,filipky01,21
2025,nba,Ron Holland,hollaro01,19
2025,nba,Dalton Knecht,knechda01,23
2025,nba,Ryan Dunn,dunnry01,22
2025,nba,Jared McCain,mccaija01,20
2025,nba,Quinten Post,postqu01,24
2025,nba,Jamal Shead,sheadja01,22
2025,nba,Tristan Da Silva,dasiltr01,23
2025,nba,Rob Dillingham,dilliro01,20
2025,nba,Justin Edwards,edwarju01,21
2025,nba,Kyshawn George,georgky01,21
2025,nba,Reed Sheppard,sheppre01,20
2024,nba,Rudy Gobert,goberru01,31
2024,nba,Victor Wembanyama,wembavi01,20
2024,nba,Bam Adebayo,adebaba01,26
2024,nba,Herbert Jones,joneshe01,25
2024,nba,Anthony Davis,davisan02,30
2024,nba,Alex Caruso,carusal01,29
2024,nba,Jalen Suggs,suggsja01,22
2024,nba,Derrick White,whitede01,29
2024,nba,Jaden McDaniels,mcdanja02,23
2024,nba,Jrue Holiday,holidjr01,33
2024,nba,Luguentz Dort,dortlu01,24
2024,nba,Kawhi Leonard,leonaka01,32
2024,nba,Chet Holmgren,holmgch01,21
2024,nba,Jarrett Allen,allenja01,25
2024,nba,Shai Gilgeous-Alexander,gilgesh01,25
2024,nba,Giannis Antetokounmpo,antetgi01,29
2024,nba,Kentavious Caldwell-Pope,caldwke01,30
2024,nba,Brook Lopez,lopezbr01,35
2024,nba,Jaylen Brown,brownja02,27
