season,lg,team,abbreviation,playoffs,g,mp,opp_fg_per_100_poss,opp_fga_per_100_poss,opp_fg_percent,opp_x2p_per_100_poss,opp_x2pa_per_100_poss,opp_x2p_percent,opp_ft_per_100_poss,opp_fta_per_100_poss,opp_ft_percent,opp_orb_per_100_poss,opp_drb_per_100_poss,opp_trb_per_100_poss,opp_ast_per_100_poss,opp_stl_per_100_poss,opp_blk_per_100_poss,opp_tov_per_100_poss,opp_pf_per_100_poss,opp_pts_per_100_poss
2026,NBA,Atlanta Hawks,ATL,False,82,19755,41.5,87.7,0.474,28.9,52.1,0.554,18.1,22.8,0.794,10.9,33.4,44.3,26.1,8.3,4.8,15.7,18.1,113.7
2026,NBA,Boston Celtics,BOS,False,82,19730,40.3,91.3,0.442,25.6,50.1,0.511,17.3,22.3,0.775,11.4,31.9,43.3,26.0,6.5,4.3,13.1,19.3,112.7
2026,NBA,Brooklyn Nets,BRK,False,82,19755,43.3,87.0,0.497,30.4,53.2,0.571,19.6,25.3,0.775,10.4,34.3,44.7,28.2,9.4,5.5,14.9,20.0,119.0
2026,NBA,Chicago Bulls,CHI,False,82,19755,43.6,91.1,0.478,29.9,54.0,0.554,17.3,22.3,0.774,11.0,33.5,44.4,27.9,8.9,5.4,12.6,18.3,118.1
2026,NBA,Charlotte Hornets,CHO,False,82,19755,42.2,90.4,0.467,29.0,53.8,0.54,16.8,21.0,0.801,10.5,29.9,40.4,26.7,8.4,4.6,13.1,20.4,114.4
2026,NBA,Cleveland Cavaliers,CLE,False,82,19755,41.2,88.8,0.464,27.1,50.8,0.533,18.6,23.4,0.794,11.2,31.8,43.0,26.9,8.6,4.3,15.0,20.5,115.1
2026,NBA,Dallas Mavericks,DAL,False,82,19855,43.7,91.4,0.478,31.2,55.8,0.559,16.7,21.7,0.77,11.6,33.9,45.6,27.6,8.6,5.1,13.0,20.5,116.5
2026,NBA,Denver Nuggets,DEN,False,82,19930,42.9,91.6,0.468,29.2,52.3,0.558,17.9,23.2,0.771,11.3,31.7,43.0,27.6,7.9,4.7,11.8,21.5,117.4
2026,NBA,Detroit Pistons,DET,True,82,19805,37.8,85.3,0.443,25.1,48.5,0.517,21.4,27.2,0.788,11.3,29.3,40.6,23.5,8.9,5.8,16.9,21.3,109.7
2026,NBA,Golden State Warriors,GSW,False,82,19805,42.5,88.6,0.48,29.5,52.6,0.562,17.6,21.9,0.802,11.6,32.8,44.4,27.2,8.8,4.2,16.0,18.7,115.6
2026,NBA,Houston Rockets,HOU,False,82,19905,41.7,90.6,0.46,28.9,54.3,0.533,17.2,22.7,0.756,11.6,29.0,40.6,25.2,9.3,4.8,13.8,20.6,113.2
2026,NBA,Indiana Pacers,IND,False,82,19755,43.7,89.3,0.489,31.7,55.7,0.57,19.5,25.2,0.773,11.1,34.9,46.0,26.1,8.0,4.7,13.3,19.6,118.8
2026,NBA,Los Angeles Clippers,LAC,False,82,19780,42.3,90.2,0.469,28.6,52.7,0.543,17.8,22.4,0.796,11.9,31.8,43.7,27.0,8.7,4.7,14.8,20.7,116.1
2026,NBA,Los Angeles Lakers,LAL,False,82,19705,43.2,89.5,0.483,30.2,52.5,0.574,17.0,21.5,0.792,11.1,30.6,41.6,27.9,9.1,3.5,14.8,21.3,116.4
2026,NBA,Memphis Grizzlies,MEM,False,82,19730,43.4,89.5,0.485,29.6,51.6,0.574,18.2,23.5,0.775,12.5,33.5,46.1,27.8,8.7,5.2,15.3,19.2,118.8
2026,NBA,Miami Heat,MIA,False,82,19705,41.8,89.8,0.465,28.3,52.2,0.542,17.4,21.6,0.804,11.2,33.6,44.8,26.5,7.6,4.7,14.5,19.6,114.5
2026,NBA,Milwaukee Bucks,MIL,False,82,19755,42.4,89.6,0.473,27.3,49.3,0.554,19.3,24.6,0.785,11.3,34.1,45.4,28.4,8.9,4.2,13.3,18.0,119.3
2026,NBA,Minnesota Timberwolves,MIN,False,82,19780,41.0,88.7,0.462,29.0,55.1,0.527,19.6,25.1,0.781,11.6,31.7,43.3,25.8,8.2,4.1,14.9,20.2,113.5
2026,NBA,New Orleans Pelicans,NOP,False,82,19805,43.3,90.8,0.477,29.3,50.7,0.578,18.1,23.4,0.774,12.6,32.8,45.4,27.9,7.9,5.7,14.3,20.0,118.9
2026,NBA,New York Knicks,NYK,False,82,19755,40.4,88.0,0.46,26.2,48.6,0.539,18.1,23.3,0.778,10.3,31.4,41.7,25.7,7.5,4.5,14.8,20.0,113.3
2026,NBA,Oklahoma City Thunder,OKC,True,82,19855,38.6,88.3,0.437,24.3,49.4,0.491,16.2,21.9,0.74,11.8,33.3,45.1,24.9,7.6,4.4,16.7,20.3,107.7
2026,NBA,Orlando Magic,ORL,False,82,19830,41.4,87.1,0.476,29.4,53.0,0.555,19.4,24.9,0.781,10.4,32.6,43.0,25.1,8.2,5.3,14.8,21.7,114.3
2026,NBA,Philadelphia 76ers,PHI,False,82,19880,41.6,89.2,0.467,28.3,51.5,0.55,18.9,24.1,0.785,12.0,33.1,45.1,27.4,7.2,5.1,15.4,19.8,115.5
2026,NBA,Phoenix Suns,PHO,False,82,19755,41.2,87.7,0.47,28.7,51.7,0.556,19.0,24.2,0.785,12.1,32.7,44.8,25.7,8.1,4.6,16.7,19.3,113.9
2026,NBA,Portland Trail Blazers,POR,False,82,19755,41.6,88.5,0.471,29.2,53.8,0.543,19.0,24.1,0.79,11.9,30.7,42.6,26.1,10.7,5.7,15.5,21.8,114.7
2026,NBA,Sacramento Kings,SAC,False,82,19755,44.1,89.3,0.494,30.3,52.7,0.574,19.3,24.5,0.789,11.2,33.0,44.1,28.1,8.8,4.7,14.0,18.4,121.5
2026,NBA,San Antonio Spurs,SAS,True,82,19730,41.0,90.9,0.451,28.0,54.0,0.518,16.4,20.8,0.79,10.4,32.1,42.5,26.1,7.6,4.6,12.9,20.2,111.3
2026,NBA,Toronto Raptors,TOR,False,82,19780,40.5,86.9,0.467,27.9,50.6,0.551,19.2,24.3,0.793,11.1,32.3,43.4,24.7,7.9,5.1,16.2,20.0,113.0
2026,NBA,Utah Jazz,UTA,False,82,19830,43.7,88.5,0.494,28.8,48.6,0.594,20.0,25.8,0.777,11.5,32.9,44.4,29.8,9.0,5.6,14.2,19.7,122.3
2026,NBA,Washington Wizards,WAS,False,82,19755,44.1,90.4,0.488,30.7,53.9,0.569,21.0,26.4,0.797,12.9,34.1,47.0,28.9,9.6,5.3,13.6,17.6,122.7
2025,NBA,Atlanta Hawks,ATL,True,82,19780,42.1,87.5,0.481,28.3,50.8,0.557,17.6,22.0,0.802,10.0,32.3,42.3,27.4,8.9,4.8,15.5,18.5,115.7
2025,NBA,Boston Celtics,BOS,True,82,19830,41.8,92.7,0.45,28.4,54.2,0.524,14.3,18.3,0.777,11.1,34.2,45.3,24.9,7.2,3.7,13.3,18.2,111.1
2025,NBA,Brooklyn Nets,BRK,False,82,19780,41.7,86.9,0.48,28.4,50.1,0.567,19.0,24.4,0.779,10.4,34.7,45.1,27.9,8.3,5.8,15.5,19.5,115.8
2025,NBA,Chicago Bulls,CHI,True,82,19755,43.0,92.0,0.467,29.8,53.6,0.556,16.4,20.8,0.786,10.6,34.0,44.6,28.0,7.8,4.9,12.2,16.2,115.6
2025,NBA,Charlotte Hornets,CHO,False,82,19755,42.4,90.8,0.467,28.0,50.0,0.559,17.2,21.8,0.79,11.5,34.6,46.2,27.3,8.9,5.4,13.6,18.5,116.6
2025,NBA,Cleveland Cavaliers,CLE,True,82,19755,41.2,90.7,0.454,27.7,53.3,0.52,16.4,21.1,0.779,11.5,31.9,43.5,25.6,7.8,4.4,14.5,18.9,112.2
2025,NBA,Dallas Mavericks,DAL,True,82,19730,43.3,92.2,0.469,30.4,56.6,0.537,16.5,21.2,0.779,12.2,33.3,45.5,27.2,8.1,4.6,13.3,18.8,116.0
2025,NBA,Denver Nuggets,DEN,True,82,19855,43.0,92.4,0.466,29.0,54.0,0.538,16.0,20.6,0.777,11.7,30.5,42.2,28.8,8.7,5.1,12.9,18.9,116.0
2025,NBA,Detroit Pistons,DET,True,82,19805,40.4,87.5,0.461,26.8,50.5,0.531,18.7,24.1,0.776,10.5,31.8,42.3,24.7,8.8,5.0,15.0,18.8,113.1
2025,NBA,Golden State Warriors,GSW,True,82,19730,40.9,87.8,0.465,27.6,51.2,0.539,16.6,21.6,0.769,10.7,33.8,44.5,26.1,7.7,5.4,15.9,18.8,111.7
