season,lg,team,playoffs
2026,NBA,Atlanta Hawks,False
2026,NBA,Boston Celtics,False
2026,NBA,Brooklyn Nets,False
2026,NBA,Chicago Bulls,False
2026,NBA,Charlotte Hornets,False
2026,NBA,Cleveland Cavaliers,False
2026,NBA,Dallas Mavericks,False
2026,NBA,Denver Nuggets,False
2026,NBA,Detroit Pistons,True
2026,NBA,Golden State Warriors,False
2026,NBA,Houston Rockets,False
2026,NBA,Indiana Pacers,False
2026,NBA,Los Angeles Clippers,False
2026,NBA,Los Angeles Lakers,False
2026,NBA,Memphis Grizzlies,False
2026,NBA,Miami Heat,False
2026,NBA,Milwaukee Bucks,False
2026,NBA,Minnesota Timberwolves,False
2026,NBA,New Orleans Pelicans,False
2026,NBA,New York Knicks,False
2026,NBA,Oklahoma City Thunder,True
2026,NBA,Orlando Magic,False
2026,NBA,Philadelphia 76ers,False
2026,NBA,Phoenix Suns,False
2026,NBA,Portland Trail Blazers,False
2026,NBA,Sacramento Kings,False
2026,NBA,San Antonio Spurs,True
2026,NBA,Toronto Raptors,False
2026,NBA,Utah Jazz,False
2026,NBA,Washington Wizards,False
2026,NBA,League Average,False
2025,NBA,Atlanta Hawks,True
2025,NBA,Boston Celtics,True
2025,NBA,Brooklyn Nets,False
2025,NBA,Chicago Bulls,True
2025,NBA,Charlotte Hornets,False
2025,NBA,Cleveland Cavaliers,True
2025,NBA,Dallas Mavericks,True
2025,NBA,Denver Nuggets,True
2025,NBA,Detroit Pistons,True
2025,NBA,Golden State Warriors,True
2025,NBA,Houston Rockets,True
2025,NBA,Indiana Pacers,True
2025,NBA,Los Angeles Clippers,True
2025,NBA,Los Angeles Lakers,True
2025,NBA,Memphis Grizzlies,True
2025,NBA,Miami Heat,True
2025,NBA,Milwaukee Bucks,True
2025,NBA,Minnesota Timberwolves,True
2025,NBA,New Orleans Pelicans,False
2025,NBA,New York Knicks,True
2025,NBA,Oklahoma City Thunder,True
2025,NBA,Orlando Magic,True
2025,NBA,Philadelphia 76ers,False
2025,NBA,Phoenix Suns,False
2025,NBA,Portland Trail Blazers,False
2025,NBA,Sacramento Kings,True
2025,NBA,San Antonio Spurs,False
2025,NBA,Toronto Raptors,False
2025,NBA,Utah Jazz,False
2025,NBA,Washington Wizards,False
2025,NBA,League Average,False
2024,NBA,Atlanta Hawks,False
2024,NBA,Boston Celtics,True
2024,NBA,Brooklyn Nets,False
2024,NBA,Chicago Bulls,False
2024,NBA,Charlotte Hornets,False
2024,NBA,Cleveland Cavaliers,True
2024,NBA,Dallas Mavericks,True
2024,NBA,Denver Nuggets,True
2024,NBA,Detroit Pistons,False
2024,NBA,Golden State Warriors,False
2024,NBA,Houston Rockets,False
2024,NBA,Indiana Pacers,True
2024,NBA,Los Angeles Clippers,True
2024,NBA,Los Angeles Lakers,True
2024,NBA,Memphis Grizzlies,False
2024,NBA,Miami Heat,True
2024,NBA,Milwaukee Bucks,True
2024,NBA,Minnesota Timberwolves,True
2024,NBA,New Orleans Pelicans,True
2024,NBA,New York Knicks,True
2024,NBA,Oklahoma City Thunder,True
2024,NBA,Orlando Magic,True
2024,NBA,Philadelphia 76ers,True
2024,NBA,Phoenix Suns,True
2024,NBA,Portland Trail Blazers,False
2024,NBA,Sacramento Kings,False
2024,NBA,San Antonio Spurs,False
2024,NBA,Toronto Raptors,False
2024,NBA,Utah Jazz,False
2024,NBA,Washington Wizards,False
2024,NBA,League Average,False
2023,NBA,Atlanta Hawks,True
2023,NBA,Boston Celtics,True
2023,NBA,Brooklyn Nets,True
2023,NBA,Chicago Bulls,False
2023,NBA,Charlotte Hornets,False
2023,NBA,Cleveland Cavaliers,True
2023,NBA,Dallas Mavericks,False
2023,NBA,Denver Nuggets,True
