season,lg,player,player_id,team,experience
1947,BAA,John Abramovic,abramjo01,PIT,1
1947,BAA,Chet Aubuchon,aubucch01,DTF,1
1947,BAA,Norm Baker,bakerno01,CHS,1
1947,BAA,Herschel Baltimore,baltihe01,STB,1
1947,BAA,John Barr,barrjo01,STB,1
1947,BAA,Frankie Baumholtz,baumhfr01,CLR,1
1947,BAA,Moe Becker,beckemo01,3TM,1
1947,BAA,Hank Beenders,beendha01,PRO,1
1947,BAA,Hank Biasatti,biasaha01,TRH,1
1947,BAA,Al Brightman,brighal01,BOS,1
1947,BAA,Aud Brindley,brindau01,NYK,1
1947,BAA,Harold Brown,brownha01,DTF,1
1947,BAA,Leon Brown,brownle01,CLR,1
1947,BAA,Tommy Byrnes,byrneto01,NYK,1
1947,BAA,Michael Bytzura,bytzumi01,PIT,1
1947,BAA,Tom Callahan,callato01,PRO,1
1947,BAA,Ernie Calverley,calveer01,PRO,1
1947,BAA,Chet Carlisle,carlich01,CHS,1
1947,BAA,Don Carlson,carlsdo01,CHS,1
1947,BAA,Bob Cluggish,cluggbo01,NYK,1
1947,BAA,Chuck Connors,connoch01,BOS,1
1947,BAA,Ken Corley,corleke01,CLR,1
1947,BAA,Hal Crisler,crislha01,BOS,1
1947,BAA,Armand Cure,curear01,PRO,1
1947,BAA,Howie Dallmar,dallmho01,PHW,1
1947,BAA,Aubrey Davis,davisau01,STB,1
1947,BAA,Bill Davis,davisbi01,CHS,1
1947,BAA,Red Dehnert,dehnere01,PRO,1
1947,BAA,Bob Dille,dillebo01,DTF,1
1947,BAA,Bob Doll,dollbo01,STB,1
1947,BAA,Bob Duffy,duffybo01,2TM,1
1947,BAA,Don Eliason,eliasdo01,BOS,1
1947,BAA,Ned Endress,endrene01,CLR,1
1947,BAA,Joe Fabel,fabeljo01,PIT,1
1947,BAA,Bob Faught,faughbo01,CLR,1
1947,BAA,Bob Feerick,feeribo01,WSC,1
1947,BAA,Warren Fenley,fenlewa01,BOS,1
1947,BAA,Bob Fitzgerald,fitzgbo01,2TM,1
1947,BAA,Dick Fitzgerald,fitzgdi01,TRH,1
1947,BAA,Jerry Fleishman,fleisje01,PHW,1
1947,BAA,Nat Frankel,frankna01,PIT,1
1947,BAA,Frido Frey,freyfr01,NYK,1
1947,BAA,Frank Fucarino,fucarfr01,TRH,1
1947,BAA,Joe Fulks,fulksjo01,PHW,1
1947,BAA,Bob Gantt,ganttbo01,WSC,1
1947,BAA,Jack Garfinkel,garfija01,BOS,1
1947,BAA,Gorham Getchell,getchgo01,PIT,1
1947,BAA,Gene Gallette,gillege01,WSC,1
1947,BAA,Chuck Gilmur,gilmuch01,CHS,1
1947,BAA,Ben Goldfaden,goldfbe01,WSC,1
1947,BAA,Pop Goodwin,goodwpo01,PRO,1
1947,BAA,Leo Gottlieb,gottlle01,NYK,1
1947,BAA,Wyndol Gray,graywy01,BOS,1
1947,BAA,Woody Grimshaw,grimswo01,PRO,1
1947,BAA,Coulby Gunther,gunthco01,PIT,1
1947,BAA,Matt Guokas,guokama01,PHW,1
1947,BAA,Chick Halbert,halbech01,CHS,1
1947,BAA,Cecil Hankins,hankice01,STB,1
1947,BAA,Kleggie Hermsen,hermskl01,2TM,1
1947,BAA,Sonny Hertzberg,hertzso01,NYK,1
1947,BAA,Art Hillhouse,hillhar01,PHW,1
1947,BAA,Mel Hirsch,hirscme01,BOS,1
1947,BAA,Charlie Hoefer,hoefech01,2TM,1
1947,BAA,Roy Hurley,hurlero01,TRH,1
1947,BAA,Fred Jacobs,jacobfr01,STB,1
1947,BAA,John Janisch,janisjo01,DTF,1
1947,BAA,Tony Jaros,jarosto01,CHS,1
1947,BAA,Harold Johnson,johnsha01,DTF,1
1947,BAA,Noble Jorgensen,jorgeno01,PIT,1
1947,BAA,Roger Jorgensen,jorgero01,PIT,1
1947,BAA,Ralph Kaplowitz,kaplora01,2TM,1
1947,BAA,Tony Kappen,kappeto01,2TM,1
1947,BAA,Ed Kasid,kasided01,TRH,1
1947,BAA,Wilbert Kautz,kautzwi01,CHS,1
1947,BAA,Ken Keller,kelleke01,2TM,1
1947,BAA,Jerry Kelly,kellyje01,BOS,1
1947,BAA,Tom King,kingto01,DTF,1
1947,BAA,Lee Knorek,knorele01,NYK,1
1947,BAA,Harold Kottman,kottmha01,BOS,1
1947,BAA,Pete Lalich,lalicpe01,CLR,1
1947,BAA,Hank Lefkowitz,lefkoha01,CLR,1
1947,BAA,Grady Lewis,lewisgr01,DTF,1
1947,BAA,John Logan,loganjo01,STB,1
1947,BAA,Al Lujack,lujacal01,WSC,1
1947,BAA,John Mahnken,mahnkjo01,WSC,1
1947,BAA,Frank Mangiapane,mangifr01,NYK,1
1947,BAA,Press Maravich,maravpr01,PIT,1
1947,BAA,Dino Martin,martidi01,PRO,1
1947,BAA,Don Martin,martido01,STB,1
1947,BAA,Ariel Maughan,maughar01,DTF,1
1947,BAA,Howie McCarty,mccarho01,DTF,1
1947,BAA,Mike McCarron,mccarmi01,TRH,1
1947,BAA,Bones McKinney,mckinbo01,WSC,1
1947,BAA,George Mearns,mearnge01,PRO,1
1947,BAA,Ed Melvin,melvied01,PIT,1
1947,BAA,Stan Miasek,miasest01,DTF,1
1947,BAA,Red Mihalik,mihalre01,PIT,1
1947,BAA,Nat Militzok,militna01,2TM,1
1947,BAA,Harry Miller,milleha01,TRH,1
1947,BAA,Walt Miller,millewa01,PIT,1
1947,BAA,John Mills,millsjo01,PIT,1
1947,BAA,Leo Mogus,mogusle01,2TM,1
1947,BAA,Elmore Morgenthaler,morgeel01,PRO,1
1947,BAA,Bob Mullens,mullebo01,2TM,1
1947,BAA,George Munroe,munroge01,STB,1
1947,BAA,Dick Murphy,murphdi01,2TM,1
1947,BAA,John Murphy,murphjo01,2TM,1
1947,BAA,Angelo Musi,musian01,PHW,1
1947,BAA,Al Negratti,negraal01,WSC,1
1947,BAA,Johnny Norlander,norlajo01,WSC,1
1947,BAA,George Nostrand,nostrge01,2TM,1
1947,BAA,Stan Noszka,noszkst01,PIT,1
1947,BAA,Buddy O'Grady,ogradbu01,WSC,1
1947,BAA,Garland O'Shields,oshiega01,CHS,1
1947,BAA,Bud Palmer,palmebu01,NYK,1
1947,BAA,Doyle Parrack,parrado01,CHS,1
1947,BAA,Marty Passaglia,passama01,WSC,1
1947,BAA,George Pastushok,pastuge01,PRO,1
1947,BAA,George Pearcy,pearcge01,DTF,1
1947,BAA,Henry Pearcy,pearche01,DTF,1
1947,BAA,Don Putman,putnado01,STB,1
1947,BAA,Bob Rensberger,rensbro01,CHS,1
1947,BAA,Mel Riebe,riebeme01,CLR,1
1947,BAA,Hank Rosenstein,rosenha01,2TM,1
1947,BAA,Petey Rosenberg,rosenpe01,PHW,1
1947,BAA,Irv Rothenberg,rotheir01,CLR,1
1947,BAA,Mickey Rottner,rottnmi01,CHS,1
1947,BAA,Giff Roux,rouxgi01,STB,1
1947,BAA,Jerry Rullo,rulloje01,PHW,1
1947,BAA,Ed Sadowski,sadowed01,2TM,1
1947,BAA,Kenny Sailors,sailoke01,CLR,1
1947,BAA,Ben Scharnus,scharbe01,CLR,1
1947,BAA,Ossie Schectman,schecos01,NYK,1
1947,BAA,Milt Schoon,schoomi01,DTF,1
1947,BAA,Dick Schulz,schuldi01,2TM,1
1947,BAA,Fred Scolari,scolafr01,WSC,1
1947,BAA,Jim Seminoff,seminji01,CHS,1
1947,BAA,George Senesky,senesge01,PHW,1
1947,BAA,Nick Shaback,shabani01,CLR,1
1947,BAA,Earl Shannon,shannea01,PRO,1
1947,BAA,Bob Shea,sheabo01,PRO,1
1947,BAA,Fred Sheffield,shefffr01,PHW,1
1947,BAA,Ralph Siewert,siewera01,2TM,1
1947,BAA,Connie Simmons,simmoco01,BOS,1
1947,BAA,Johnny Simmons,simmojo01,BOS,1
1947,BAA,Belus Smawley,smawlbe01,STB,1
1947,BAA,Deb Smith,smithde01,STB,1
1947,BAA,Gino Sovran,sovragi01,TRH,1
1947,BAA,Art Spector,spectar01,BOS,1
1947,BAA,Lou Spicer,spicelo01,PRO,1
1947,BAA,Art Stolkey,stolkar01,DTF,1
1947,BAA,Stan Stutz,stutzst01,NYK,1
1947,BAA,Buck Sydnor,sydnobu01,CHS,1
1947,BAA,Irv Torgoff,torgoir01,WSC,1
1947,BAA,Butch van Breda Kolff,vanbrbu01,NYK,1
1947,BAA,Virgil Vaughn,vaughvi01,BOS,1
1947,BAA,Red Wallace,wallare01,2TM,1
1947,BAA,Jake Weber,weberja01,2TM,1
1947,BAA,Ray Wertis,wertira01,2TM,1
1947,BAA,Max Zaslofsky,zasloma01,CHS,1
1947,BAA,Harry Zeller,zelleha01,PIT,1
1948,BAA,John Abramovic,abramjo01,2TM,2
1948,BAA,Hank Beenders,beendha01,2TM,2
1948,BAA,Mike Bloom,bloommi01,2TM,1
1948,BAA,Carl Braun,braunca01,NYK,1
1948,BAA,Stan Brown,brownst01,PHW,1
1948,BAA,Tommy Byrnes,byrneto01,NYK,2
1948,BAA,Ernie Calverley,calveer01,PRO,2
1948,BAA,Chuck Connors,connoch01,BOS,2
1948,BAA,Chink Crossin,crossch01,PHW,1
1948,BAA,Howie Dallmar,dallmho01,PHW,2
1948,BAA,Bob Doll,dollbo01,STB,2
1948,BAA,Bill Downey,downebi01,PRO,1
1948,BAA,Bulbs Ehlers,ehlerbu01,BOS,1
1948,BAA,Johnny Ezersky,ezersjo01,PRO,1
1948,BAA,Bob Feerick,feeribo01,WSC,2
1948,BAA,Dick Fitzgerald,fitzgdi01,PRO,2
1948,BAA,Jerry Fleishman,fleisje01,PHW,2
1948,BAA,Herm Fuetsch,fuetshe01,BLB,1
1948,BAA,Joe Fulks,fulksjo01,PHW,2
1948,BAA,Elmer Gainer,gaineel01,BLB,1
1948,BAA,Jack Garfinkel,garfija01,BOS,2
1948,BAA,Chuck Gilmur,gilmuch01,CHS,2
1948,BAA,Pop Goodwin,goodwpo01,PRO,2
1948,BAA,Leo Gottlieb,gottlle01,NYK,2
1948,BAA,Wyndol Gray,graywy01,2TM,2
1948,BAA,Chick Halbert,halbech01,2TM,2
1948,BAA,Cecil Hankins,hankice01,BOS,2
1948,BAA,Kleggie Hermsen,hermskl01,BLB,2
1948,BAA,Sonny Hertzberg,hertzso01,2TM,2
1948,BAA,Jack Hewson,hewsoja01,BOS,1
1948,BAA,Nat Hickey,hickena01,PRO,1
1948,BAA,Art Hillhouse,hillhar01,PHW,2
1948,BAA,Charlie Hoefer,hoefech01,BOS,2
1948,BAA,Paul Hoffman,hoffmpa01,BLB,1
1948,BAA,Dick Holub,holubdi01,NYK,1
